keys,en
DATE.MONTH.JANUARY,January
DATE.MONTH.FEBRUARY,February
DATE.MONTH.MARCH,March
DATE.MONTH.APRIL,April
DATE.MONTH.MAY,May
DATE.MONTH.JUNE,June
DATE.MONTH.JULY,July
DATE.MONTH.AUGUST,August
DATE.MONTH.SEPTEMBER,September
DATE.MONTH.OCTOBER,October
DATE.MONTH.NOVEMBER,November
DATE.MONTH.DECEMBER,December
DIALOG.ITEM_PROPERTIES.TITLE,Editing Item
DIALOG.ITEM_PROPERTIES.ADD_PROPERTY,Add property…
DIALOG.ITEM_PROPERTIES.PROPERTY_MOVE_UP,Move up
DIALOG.ITEM_PROPERTIES.PROPERTY_MOVE_DOWN,Move down
DIALOG.ITEM_PROPERTIES.PROPERTY_RENAME,Rename
DIALOG.ITEM_PROPERTIES.PROPERTY_DUPLICATE,Duplicate
DIALOG.ITEM_PROPERTIES.PROPERTY_DELETE,Delete
DIALOG.ITEM_PROPERTIES.PROPERTY_SAVE,Save property…
DIALOG.ITEM_PROPERTIES.PROPERTY_LOAD,Load property from file…
DIALOG.GENERAL.APPLY,Apply
DIALOG.GENERAL.CANCEL,Cancel
DIALOG.GENERAL.CONFIRM,Confirm
DIALOG.GENERAL.OK,OK
DIALOG.MESSAGE.TITLE,Information
DIALOG.USER_CONFIRMATION.TITLE,Confirm Action
DIALOG.USER_CONFIRMATION.EXIT_ITEM_PROPERTIES_UNCOMMITED_CHANGES,Your changes were not applied. Discard unsaved changes?
MENU.ADD_PROPERTY.ADD_DATE,Add date
MENU.ADD_PROPERTY.ADD_DISPLAY,Add display
MENU.ADD_PROPERTY.ADD_DESCRIPTOR,Add descriptor
MENU.ADD_PROPERTY.ADD_LINK,Add link
MENU.ADD_PROPERTY.LOAD_PROPERTY,Load and add property from file…
MENU.ADD_PROPERTY.ADD_RANGED_DATE,Add date span
PANEL.ITEMLIST.NEW_ITEM,Item…
PANEL.ITEMLIST.NEW_ITEM_EMPTY,Create new empty item…
PANEL.ITEMLIST.NEW_ITEM_DESCRIPTOR,Create new descriptor item…
PANEL.ITEMLIST.NEW_ITEM_TEST,Create new test item…
PANEL.ITEMLIST.LOAD_ITEM_FILE,Load item from file…
PANEL.ITEMLIST.EDIT_ITEM_SELECTED,Edit selected item(s)
PANEL.ITEMLIST.EXPORT_ITEM_SELECTED,Export selected item(s)
PANEL.ITEMLIST.DELETE_ITEM_SELECTED,Delete selected item(s)
PANEL.ITEMLIST.QUERY_PLACEHOLDER,Search tags (separated by spaces)
PANEL.ITEMLIST.QUERY,Search
PANEL.ITEMLIST.MANAGE_COMMON_LINKS,Manage common links…
PANEL.ITEMLIST.ITEM_PROPERTIES,Item properties…
PANEL.ITEMLIST.MANAGE_LINKS,Manage links…
PANEL.ITEMLIST.QUERY_LINKED_ITEMS_WITH_TAGS,Search: Tags linked to this item
PANEL.ITEMLIST.QUERY_UNLINKED_ITEMS_WITH_TAGS,Search: Tags unlinked to this item
PANEL.ITEMLIST.QUERY_LINKED_ITEMS,Search: Items linked to this item
PANEL.ITEMLIST.QUERY_UNLINKED_ITEMS,Search: Items unlinked to this item
PANEL.ITEMLIST.CLIPBOARD_SELECTED_ITEM_TEXT,Clipboard: Copy selected item(s) text to clipboard
PANEL.ITEMLIST.CLIPBOARD_SELECTED_LINKED_TAGS,Clipboard: Copy all linked tag aliases of selected item(s)
PANEL.ITEMLIST.DUPLICATE_ITEMS,Duplicate selected item(s) (keep original selected)
PANEL.ITEMLIST.DUPLICATE_ITEMS_AND_SELECT,Duplicate selected item(s) (select copied items)
PANEL.ITEM_OVERVIEW.INLINKS_DESCRIPTOR_COUNT,{count} description(s)
PANEL.ITEM_OVERVIEW.INLINKS_ITEM_DEFAULT,Related to {to}
PANEL.ITEMLIST.DELETE_ITEMS,Delete item(s)
PROPERTY.TYPES.DISPLAY,Display
PROPERTY.TYPES.DESCRIPTOR,Descriptor
PROPERTY.TYPES.LINK,Link
PROPERTY.TYPES.DATE,Date
PROPERTY.TYPES.RANGED_DATE,Datespan
PROPERTY.TYPES.PARAMETER,Parameter
WIDGET.DATE_EDIT.DESCRIPTION,Description
WIDGET.DATE_EDIT.START_DATE,Start
WIDGET.DATE_EDIT.END_DATE,End
WIDGET.DATE_EDIT.INDEFINITE,Indefinite
WIDGET.DATE_EDIT.DATE,Date
WIDGET.DESCRIPTOR_EDIT.ALIAS,Alias
WIDGET.DESCRIPTOR_EDIT.ALIAS_PLACEHOLDER,"Max. 64 chars, snake_case, no escapes"
WIDGET.DESCRIPTOR_EDIT.PRIORITY,Priority
WIDGET.DESCRIPTOR_EDIT.PRIORITY_PLACEHOLDER,Any whole number higher than 0
WIDGET.DISPLAY_EDIT.SORT_NAME,Sort Name
WIDGET.DISPLAY_EDIT.SORT_NAME_PLACEHOLDER,"Max. 100 chars, used when sorting item in list"
WIDGET.DISPLAY_EDIT.TEXT,Text
WIDGET.DISPLAY_EDIT.TEXT_PLACEHOLDER,"Max. 1500 chars, escapes allowed, intended for documentation"
WIDGET.DISPLAY_EDIT.TITLE,Header
WIDGET.DISPLAY_EDIT.ALT,Alt
WIDGET.LIST_HEADER.SHOW,Show
WIDGET.LIST_HEADER.COLLAPSE,Hide
WIDGET.LIST_HEADER.ITEM_OPTIONS,Options
WIDGET.LINK_EDIT.FROM,Link from
WIDGET.LINK_EDIT.TO,To
